Year,Round,Game,Away,Away Score,Home Field-A,Away State,LP-A
2018,round4,Game9,St. Kilda,56,Docklands,VIC,15
2018,round5,Game1,Adelaide,85,Adelaide Oval,SA,9
2018,round5,Game2,Greater Western Sydney,73,Sydney Showground,NSW,1
2018,round5,Game3,West Coast,79,Perth Stadium,WA,2
2018,round5,Game4,Geelong,84,Kardinia Park,VIC,8
2018,round5,Game5,Western Bulldogs,54,Docklands,VIC,15
2018,round5,Game6,Hawthorn,70,MCG,VIC,4
2018,round5,Game7,Gold Coast,76,Metricon,QLD,14
2018,round5,Game8,Richmond,102,MCG,VIC,3
2018,round5,Game9,Essendon,52,Docklands,VIC,11
2018,round6,Game1,Carlton,59,Docklands,VIC,18
2018,round6,Game2,Sydney,86,SCG,NSW,10
2018,round6,Game3,Port Adelaide,102,Adelaide Oval,SA,9
2018,round6,Game4,Brisbane,43,Gabba,QLD,17
2018,round6,Game5,St. Kilda,54,Docklands,VIC,15
2018,round6,Game6,Gold Coast,62,Metricon,QLD,12
2018,round6,Game7,Melbourne,108,MCG,VIC,14
2018,round6,Game8,Richmond,113,MCG,VIC,1
2018,round6,Game9,West Coast,89,Perth Stadium,WA,2
2018,round7,Game1,Greater Western Sydney,32,Sydney Showground,NSW,3
2018,round7,Game2,Gold Coast,72,Metricon,QLD,13
2018,round7,Game3,Hawthorn,90,MCG,VIC,4
2018,round7,Game4,Port Adelaide,60,Adelaide Oval,SA,6
2018,round7,Game5,North Melbourne,68,Docklands,VIC,8
2018,round7,Game6,Carlton,70,Docklands,VIC,18
2018,round7,Game7,Fremantle,33,Perth Stadium,WA,11
2018,round7,Game8,Melbourne,106,MCG,VIC,12
2018,round7,Game9,Collingwood,121,MCG,VIC,10
2018,round8,Game1,Sydney,79,SCG,NSW,8
2018,round8,Game2,West Coast,86,Perth Stadium,WA,2
2018,round8,Game3,Essendon,78,Docklands,VIC,15
2018,round8,Game4,Melbourne,146,MCG,VIC,10
2018,round8,Game5,Adelaide,90,Adelaide Oval,SA,3
2018,round8,Game6,Brisbane,93,Gabba,QLD,17
2018,round8,Game7,St. Kilda,59,Docklands,VIC,16
2018,round8,Game8,Richmond,82,MCG,VIC,1
2018,round8,Game9,Geelong,66,Kardinia Park,VIC,6
2018,round9,Game1,Western Bulldogs,26,Docklands,VIC,13
2018,round9,Game2,Greater Western Sydney,69,Sydney Showground,NSW,9
2018,round9,Game3,Port Adelaide,82,Adelaide Oval,SA,8
2018,round9,Game4,Geelong,50,Kardinia Park,VIC,3
2018,round9,Game5,Fremantle,52,Perth Stadium,WA,12
2018,round9,Game6,Collingwood,100,MCG,VIC,11
2018,round9,Game7,Melbourne,159,MCG,VIC,6
2018,round9,Game8,Hawthorn,73,MCG,VIC,5
2018,round9,Game9,Richmond,83,MCG,VIC,1
2018,round10,0Game1,Western Bulldogs,55,Docklands,VIC,13
2018,round10,0Game2,St. Kilda,77,Docklands,VIC,16
2018,round10,0Game3,Sydney,67,SCG,NSW,5
2018,round10,0Game4,Carlton,45,Docklands,VIC,18
2018,round10,0Game5,Essendon,95,Docklands,VIC,14
2018,round10,0Game6,West Coast,75,Perth Stadium,WA,1
2018,round10,0Game7,Adelaide,55,Adelaide Oval,SA,4
2018,round10,0Game8,North Melbourne,86,Docklands,VIC,7
2018,round11,1Game1,Carlton,61,Docklands,VIC,18
2018,round11,1Game2,Melbourne,100,MCG,VIC,3
2018,round11,1Game3,Port Adelaide,61,Adelaide Oval,SA,9
2018,round11,1Game4,Geelong,121,Kardinia Park,VIC,6
2018,round11,1Game5,Richmond,114,MCG,VIC,2
2018,round11,1Game6,St. Kilda,88,Docklands,VIC,16
2018,round11,1Game7,Brisbane,87,Gabba,QLD,17
2018,round11,1Game8,Fremantle,77,Perth Stadium,WA,13
2018,round11,1Game9,Greater Western Sydney,97,Sydney Showground,NSW,11
2018,round12,2Game1,Richmond,58,MCG,VIC,2
2018,round12,2Game2,North Melbourne,59,Docklands,VIC,6
2018,round12,2Game3,Gold Coast,26,Metricon,QLD,15
2018,round12,2Game4,Sydney,126,SCG,NSW,4
2018,round12,2Game5,Essendon,84,Docklands,VIC,12
2018,round12,2Game6,Adelaide,68,Adelaide Oval,SA,9
